Category,URL,Name,Store Name,Price,,,,,,,,https://slickdeals.net/deal-categories/
Autos,https://slickdeals.net/f/13977668-mazda-lessees-cx-30-for-79-month-1-999-drive-off-florida?src=catpagev2,"Mazda Lessees: CX-30 for $79/Month, $1,999 Drive-Off (Florida)",,,,,,,,,,
Autos,https://slickdeals.net/f/13978958-free-car-wash-products-mm?src=catpagev2,free car wash products +MM,Swagbucks,,,,,,,,,
Autos,https://slickdeals.net/f/13976372-uniden-r7-extreme-long-range-radar-detector-with-gps-threat-detection-amazon-425-64?src=catpagev2,Uniden R7 Extreme Long Range Radar Detector with GPS & Threat Detection @ Amazon $425.64,Amazon,$425.64 ,,,,,,,,
Autos,https://slickdeals.net/f/13975448-black-bull-hbj4-4-ton-multi-purpose-hydraulic-jack-amazon-home-depot-15-99?src=catpagev2,Black Bull HBJ4 4 Ton Multi-Purpose Hydraulic Jack - Amazon/Home Depot - $15.99,,$15.99 ,,,,,,,,
Autos,https://slickdeals.net/f/13973345-michelin-primacy-tour-a-s-p225-55-r18-closeout-108-59?src=catpagev2,Michelin Primacy Tour A/S Tires (225/55R18),TireRack.com,$109 each,,,,,,,,
Autos,https://slickdeals.net/f/13974206-spend-25-or-more-get-10-back-bpme-mobile-app-expires06-02-2020-spend-25-or-more-get-10-back-bpme-mobile-app-expires06-02-2020-spend-25-in-bp-amoco-get-10-amex-ymmv?src=catpagev2,"Spend $25 or more, get $10 back BPme mobile app EXPIRES06/02/2020 Spend $25 or more, get $10 back BPme mobile app EXPIRES06/02/2020 Spend 25$ in BP/Amoco, get 10$ Amex ymmv",Amex Offers,,,,,,,,,
Autos,https://slickdeals.net/f/13973597-bf-goodrich-rubber-truck-floor-mats-4-wal-mart-in-store-ymmv?src=catpagev2,BF Goodrich Rubber Truck floor mats  $4 Wal-Mart in store ymmv,Walmart,,,,,,,,,
Autos,https://slickdeals.net/f/13968605-daytona-3-ton-long-reach-low-profile-professional-rapid-pump-floor-jack-black-169-99?src=catpagev2,DAYTONA 3 Ton Long Reach Low Profile Professional Rapid Pump® Floor Jack - Black $169.99,Harbor Freight,$169.99 ,,,,,,,,
Autos,https://slickdeals.net/f/13967951-chase-pay-save-25-per-gallon-on-every-fill-up-at-participating-phillips-66-76-and-conoco-locations?src=catpagev2,"Chase Pay - Save 25¢ per gallon on every fill-up at participating Phillips 66, 76 and Conoco locations",Chase - Bank Advertiser,,,,,,,,,
Autos,https://slickdeals.net/f/13967444-napa-diy-oil-change-napa-full-synthetic-with-napa-platinum-filter-22-99?src=catpagev2,Napa DIY Oil Change - Napa Full Synthetic with Napa Platinum Filter $22.99,,$22.99 ,,,,,,,,
Autos,https://slickdeals.net/f/13962923-walmart-mobil-1-advanced-full-synthetic-motor-oil-0w-40-5-qt-for-22-88-free-shipping?src=catpagev2,"Walmart: Mobil 1 Advanced Full Synthetic Motor Oil 0W-40, 5 qt. for $22.88. Free Shipping.",Walmart,$22.88 ,,,,,,,,
Autos,https://slickdeals.net/f/13963562-lowes-kobalt-63-piece-standard-sae-and-metric-polished-chrome-mechanics-tool-set-15-98-ymmv?src=catpagev2,Lowes- Kobalt 63-Piece Standard (SAE) and Metric Polished Chrome Mechanics Tool Set- $15.98 YMMV,Lowe's,$15.98 ,,,,,,,,
Autos,https://slickdeals.net/f/13964042-segal-fixed-adjustable-child-safety-window-guard?src=catpagev2,Segal Fixed Adjustable Child Safety Window Guard,Amazon,,,,,,,,,
Autos,https://slickdeals.net/f/13961102-purchase-qualifying-shell-rotella-products-and-save-up-to-20-after-mail-in-rebate?src=catpagev2,purchase qualifying Shell Rotella® products and save up to $20 after mail-in rebate.,,,,,,,,,,
Autos,https://slickdeals.net/f/13958603-bp-amoco-50-cents-off-per-gallon-for-healthcare-first-responders?src=catpagev2,BP / Amoco - 50 cents off per Gallon for Healthcare First Responders,,,,,,,,,,
Autos,https://slickdeals.net/f/13953077-napa-platinum-oil-filter-5-99-in-store?src=catpagev2,Napa Platinum Oil Filter $5.99 in store,,$5.99 ,,,,,,,,
Autos,https://slickdeals.net/f/13952756-the-tire-rack-get-up-to-30-back-from-laufenn-online-rebate-until-4-18?src=catpagev2,The Tire Rack: Get Up to $30* Back from Laufenn - Online Rebate Until 4/18,TireRack.com,,,,,,,,,
Autos,https://slickdeals.net/f/13951193-walmart-com-coleman-coastal-xtreme-series-marine-portable-cooler-120-quart-49-00-free-s-h?src=catpagev2,"Walmart.com: Coleman Coastal Xtreme Series Marine Portable Cooler, 120 Quart $49.00 FREE S&H",Walmart,,,,,,,,,
Autos,https://slickdeals.net/f/13942760-mobil-2020-rebates?src=catpagev2,"Purchase Select Mobil 1 and Mobil Super Motor Oil Products, Get Visa Prepaid Card",,up to $24,,,,,,,,
Autos,https://slickdeals.net/f/13942082-type-s-lithium-jump-starter-portable-power-bank-with-led-flashlight-44-99-4-99-shipping?src=catpagev2,Type S Lithium Jump Starter Portable Power Bank with LED Flashlight $44.99+$4.99 shipping,Costco Wholesale,,,,,,,,,
Autos,https://slickdeals.net/f/13941581-unlimited-cellular-verizon-4-8a-dual-usb-car-charger-3-97-with-free-shipping?src=catpagev2,Unlimited Cellular: Verizon 4.8A Dual USB Car Charger @ $3.97 with FREE Shipping,Unlimited Cellular,$3.97 ,,,,,,,,
Autos,https://slickdeals.net/f/13938896-motorcyclegear-com-hjc-fg-17-85-free-shipping-on-orders-89?src=catpagev2,Motorcyclegear.com: HJC FG-17 $85+. Free Shipping on Orders $89+,,$85 ,,,,,,,,
Autos,https://slickdeals.net/f/13936094-ctek-car-battery-charger-maintaine-7002-100-99-mxs-5-0-72-77-and-other-models?src=catpagev2,CTEK - Car battery charger/maintaine 7002 - $100.99 / MXS 5.0 $72.77 and other models,Amazon,$100.99 ,,,,,,,,
Autos,https://slickdeals.net/f/13936850-armor-all-original-protectant-pump-4-fluid-ounces-s-s-1-82?src=catpagev2,Armor All Original Protectant Pump (4 fluid ounces) S&S $1.82,Amazon,$1.82 ,,,,,,,,
